00000 || 00000000000000000000000000000000
11110 || 10010010110011000001001111000111


00000 || 00000000000000000000000000000000
11110 || 10010010110011000001001111000111


00000 || 00000000000000000000000000000000
11110 || 10010010110011000001001111000111


00000 || 00000000000000000000000000000000
11110 || 10010010110011000001001111000111


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


11110 || 10010010110011000001001111000111
00000 || 00000000000000000000000000000000


